"Table 1.1 Total Arrivals(a) by State of Residence/Stay(b), Jan-1991 to Jun-2021(c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,NSW,Vic.,Qld,SA,WA,Tas.,NT,ACT,Australia(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1991,200040,94560,79590,19330,44510,3380,4390,7790,462080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1991,145330,72500,62360,13580,35830,4260,2510,7270,350090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1991,148690,69330,70250,12990,33420,2760,1810,5280,349970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1991,128400,57320,61330,11760,33880,1690,3460,4170,306940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1991,126650,58060,65310,10830,33110,2040,3470,3730,308760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1991,130490,60390,86850,12100,33160,3200,3630,5380,342200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1991,180370,81970,88860,16110,37280,2280,5210,7050,427590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1991,165210,74280,78230,13680,35910,2620,4500,5870,387990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1991,167770,76500,79390,15160,38790,4040,3110,6390,400080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-1991,194000,92910,85630,19610,43590,2700,3270,7400,459600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-1991,168630,80490,78460,14110,39370,2480,3110,6540,406660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-1991,171440,75990,85930,14680,42180,3620,3460,6650,415330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1992,208490,94160,90760,15950,45110,4230,3430,7700,477800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1992,177030,83750,77910,14370,38950,4080,2590,5440,412270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1992,166970,67330,74260,12230,35350,3150,2490,4730,375660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1992,168630,68650,74060,13670,36210,2900,3410,5430,379300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1992,144520,62400,76890,12060,29560,2610,3670,4890,341990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1992,138280,61840,82740,11640,31180,3530,2910,4960,342030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1992,190320,82110,101150,17080,45700,3670,6040,7740,462380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1992,168210,73710,85420,14520,39550,3500,4450,6520,403510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1992,163120,80550,84340,15890,42470,4280,3740,6130,408210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-1992,201120,95400,99230,20130,49980,3680,4460,7190,491610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-1992,188030,82490,93200,16140,43550,3060,3020,6730,440730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-1992,193500,77370,101780,15550,47890,4590,3500,6190,454560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1993,235300,98710,109460,19330,53350,4520,3890,6600,538170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1993,190060,81250,83090,14520,42220,4570,2380,6540,430970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1993,181600,71470,91340,15140,38520,4220,2070,4830,415040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1993,177210,68860,91540,14150,39570,2460,3620,5020,405630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1993,158060,70340,91740,12200,35130,3200,3630,4500,379360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1993,155660,62620,95520,12490,39960,3190,3040,4150,377660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1993,217580,86660,104190,16490,49250,3190,4920,8780,491930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1993,183970,73540,104390,15200,43530,3370,5600,5560,437710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1993,186260,78120,95320,16900,45080,4250,4720,6790,439160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-1993,243420,89340,107350,19680,55100,4000,5400,7080,534730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-1993,190640,85490,108950,15400,49920,4160,4540,5310,464410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-1993,206130,84270,117000,17250,55240,4800,3300,6540,494540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1994,243520,104380,108230,18830,58640,4540,4750,6090,548980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1994,214070,84500,109170,14670,51950,4480,4300,5470,488610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1994,215970,82670,103060,14280,53100,2720,4380,4730,480920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1994,202350,72530,93750,13140,45270,2820,4880,5680,440430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1994,163350,62840,94740,12650,40910,2730,3810,4820,385850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1994,171740,69130,102370,12670,43690,3940,5410,5690,414640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1994,234820,96290,116390,17710,60050,2920,9610,8180,545960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1994,202050,76000,111950,15260,51790,3120,6760,5600,472530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1994,197900,89170,114230,17550,50640,4110,6100,6260,485960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-1994,242620,102390,123950,20420,64450,3310,7690,8470,573290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-1994,209510,86580,115590,18240,57020,4000,5100,5890,501920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-1994,225780,91660,133110,15110,63900,5690,5080,6760,547100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1995,265880,110440,134360,20580,64280,5040,6330,8790,615700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1995,226040,102280,109680,16740,52190,4430,4050,7610,523840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1995,214450,85020,114220,16100,53730,3580,4360,5670,498110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1995,211740,91030,114310,15540,50680,3580,5210,6260,499280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1995,183940,69840,111230,12430,41620,2750,6680,5370,434660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1995,190790,73600,121120,13900,46510,4560,5450,5590,462410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1995,262690,102770,141480,18130,56980,4020,8610,8060,603750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1995,216570,83870,136540,17190,53520,3190,6990,6780,525500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1995,217210,91350,118540,18420,54390,5280,6450,7270,520050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-1995,263570,106170,131050,22730,68020,4000,8960,8230,613300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-1995,232870,94830,127440,18960,58570,4040,5890,7120,550600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-1995,251050,98630,149110,15700,68070,6760,5080,7800,603410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1996,290390,119120,143150,21360,65170,3950,7530,9280,660750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1996,261400,106600,141920,16680,64380,5650,4310,7310,609000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1996,246790,98550,138520,17410,53810,3840,4990,6850,571570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1996,244830,92100,131980,17270,58020,3010,4930,6530,559260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1996,190920,75610,114160,15470,44210,2630,5680,6240,455620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1996,212720,88440,139200,14020,54250,4320,6110,6210,525410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1996,262870,111820,166720,21370,63750,3470,9380,7330,646890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1996,235390,94390,151140,17290,59430,2910,6260,6820,574070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1996,231460,104670,143340,19540,60970,4520,6180,7720,578680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-1996,282510,120470,149590,22670,75130,4100,8670,9020,672550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-1996,258200,108690,140000,18210,64730,4670,6800,7400,609270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-1996,276510,108160,167800,16500,71340,4380,5480,7510,658620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1997,302810,131290,156450,21550,72290,5600,5870,7750,703800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1997,262180,118720,148260,18660,64900,6770,7210,7600,635280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1997,261410,108140,151530,17440,62800,4200,6190,6600,619190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1997,227470,98600,134230,17240,59110,4040,4660,6820,552390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1997,208830,83660,126870,15150,51110,3170,6070,6690,501710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1997,220440,92230,142660,16500,57850,4950,6220,6010,547250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1997,275950,141350,174820,22630,71130,4370,9280,10270,710680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1997,233190,104230,154510,20500,62150,3840,7060,6830,593040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1997,246730,114720,149160,21460,67490,4790,7990,7260,619970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-1997,287990,130260,160060,25520,83630,4640,8870,8810,710200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-1997,258800,113270,152140,20990,68470,4320,7290,7520,633830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-1997,262250,115400,155750,22090,72190,6340,5690,7800,647930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1998,301960,133550,154130,23430,77720,5090,7060,8830,712230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1998,258940,121670,124890,21050,63420,7300,5400,8610,611750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1998,239180,108180,127100,19370,63110,4530,4950,8040,574840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1998,256380,105060,137540,19200,63760,3030,5310,7030,597840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1998,216750,97610,126630,16850,59610,3080,6070,6000,532880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1998,216200,99420,149170,15460,61330,5000,5530,6940,560350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1998,286620,133020,161360,18920,73730,2710,9560,8330,696680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1998,258290,103390,146570,18050,67970,3440,7680,6340,614090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1998,240800,129010,156580,17430,63560,4660,8480,6430,628740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-1998,290090,150390,153630,24630,87750,5520,8450,8180,731040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-1998,254280,126810,139710,23330,74090,3850,6430,7910,638220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-1998,274040,129080,158460,23300,73590,5700,7050,7720,680870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-1999,314160,146740,157790,24900,82290,6210,9360,10100,754350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1999,272390,127550,138660,21300,71830,4860,7440,7700,653350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1999,260970,121110,145760,20930,66190,4490,6170,8250,635700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1999,256760,108610,135120,19140,63450,3030,5620,7190,601850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1999,218310,98140,137910,19700,57680,3560,6380,6660,550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1999,215440,101370,151370,19760,58260,4870,5910,7180,566700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1999,290330,139330,174740,24750,78800,3950,12030,10800,734920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1999,257830,113370,159370,21550,73520,4000,8510,7090,645450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1999,261350,126310,161660,24720,77210,4950,9280,8340,674170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-1999,304800,154720,172450,31480,85850,4450,11560,10880,776210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-1999,288540,125410,153450,21920,75620,4790,7040,9520,686390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-1999,295410,127940,158270,26520,67490,5640,6700,8050,696410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2000,312150,151370,153260,27220,86610,5220,6580,11010,753440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2000,303730,137380,149660,22420,72360,8110,7480,7640,708940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2000,280620,129770,141990,21570,68320,4140,9910,7030,663510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2000,302080,130770,159390,25150,68380,4300,7700,9190,707500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2000,252680,104050,137690,20990,61070,3260,7120,7590,594550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2000,244670,107030,155470,23540,62240,5090,9070,8060,615350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2000,318120,151300,183370,28640,82850,4200,12400,11980,794190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2000,273790,131060,160830,22400,69810,5160,7990,8020,679450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2000,368030,136770,136710,23890,64820,4460,6360,11950,753310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2000,349200,165500,169180,27990,81230,6260,9770,12010,821590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2000,316230,151490,165810,22570,80170,4980,7820,8390,759550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2000,345280,145580,178120,27970,95670,8390,8320,10860,820560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2001,371970,172660,180670,29110,93130,6540,9470,10690,874790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2001,306740,159900,141240,22300,77310,6540,7550,10380,733150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2001,290810,134700,160520,22840,75520,4300,8950,8420,707640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2001,295020,140700,160820,24780,71660,4730,9120,10160,719340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2001,255960,110260,139530,17130,57980,4000,7640,8580,603030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2001,256450,117750,176320,22690,62820,5480,7310,6530,656320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2001,325530,171570,198170,29960,79930,4420,11850,13710,835280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2001,280620,129610,169420,23790,70400,4680,8780,10350,697870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2001,272120,141080,164200,24690,78320,6250,9810,9200,705910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2001,298490,158940,157180,27620,83470,4880,9260,10150,750270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2001,254210,128330,134590,20760,66910,5540,6800,8090,625250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2001,320700,145610,160580,23640,80550,6950,5760,9300,753250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-2002,332890,169500,155490,25100,78140,7410,8350,10500,787590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-2002,288360,151870,145980,20960,76050,7540,6710,10580,708130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-2002,296120,150990,159300,23560,78170,5120,7310,9100,729840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-2002,276690,131350,142930,18940,60720,3620,6640,8930,649940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-2002,241180,116210,139090,18110,65610,3310,6520,8170,598300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-2002,237710,119810,162780,18700,64740,5690,6890,8580,625020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-2002,314650,163050,190020,27560,79970,4250,9320,12940,801980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-2002,271350,136400,166810,22810,72650,4060,8800,8750,691630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-2002,266780,145030,158400,22480,75670,4910,9360,9450,692100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-2002,332530,168170,183800,29570,87840,4760,8200,13780,828820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-2002,280090,142850,167400,25920,76290,5490,7630,9220,714940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-2002,313320,152050,172870,24480,84880,7370,5700,9080,769760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
