"","","Month","Month1","Country","Percentage Change"
"194",NA,"May-20",2,"Samoa","-96.2962963"
"195",NA,"Jun-20",3,"Samoa","-100"
"196",NA,"Jul-20",4,"Samoa","-100"
"197",NA,"Aug-20",5,"Samoa","-100"
"198",NA,"Sep-20",6,"Samoa","-100"
"199",NA,"Oct-20",7,"Samoa","-96.2962963"
"200",NA,"Nov-20",8,"Samoa","-100"
"201",NA,"Dec-20",9,"Samoa","-96.2962963"
"202",NA,"Jan-21",10,"Samoa","-100"
"203",NA,"Feb-21",11,"Samoa","-100"
"204",NA,"Mar-21",12,"Samoa","-100"
"205",NA,"Apr-21",13,"Samoa","22.22222222"
"206",NA,"May-21",14,"Samoa","-25.92592593"
"207",NA,"Jun-21",15,"Samoa","96.2962963"
"208",NA,"Jul-21",16,"Samoa","-14.8148148"
"209",NA,"Apr-20",1,"Tonga","-90.90909091"
"210",NA,"May-20",2,"Tonga","-98.48484848"
"211",NA,"Jun-20",3,"Tonga","-98.48484848"
"212",NA,"Jul-20",4,"Tonga","-98.48484848"
"213",NA,"Aug-20",5,"Tonga","-100"
"214",NA,"Sep-20",6,"Tonga","-100"
"215",NA,"Oct-20",7,"Tonga","-75.75757576"
"216",NA,"Nov-20",8,"Tonga","-78.78787879"
"217",NA,"Dec-20",9,"Tonga","-72.72727273"
"218",NA,"Jan-21",10,"Tonga","-75.75757576"
"219",NA,"Feb-21",11,"Tonga","-54.54545455"
"220",NA,"Mar-21",12,"Tonga","-63.63636364"
"221",NA,"Apr-21",13,"Tonga","-39.39393939"
"222",NA,"May-21",14,"Tonga","-39.39393939"
"223",NA,"Jun-21",15,"Tonga","-46.96969697"
"224",NA,"Jul-21",16,"Tonga","-71.2121212"
"225",NA,"Apr-20",1,"Tuvalu","-100"
"226",NA,"May-20",2,"Tuvalu","-100"
"227",NA,"Jun-20",3,"Tuvalu","-100"
"228",NA,"Jul-20",4,"Tuvalu","-100"
"229",NA,"Aug-20",5,"Tuvalu","-100"
"230",NA,"Sep-20",6,"Tuvalu","-100"
"231",NA,"Oct-20",7,"Tuvalu","-100"
"232",NA,"Nov-20",8,"Tuvalu","-100"
"233",NA,"Dec-20",9,"Tuvalu","-100"
"234",NA,"Jan-21",10,"Tuvalu","-100"
"235",NA,"Feb-21",11,"Tuvalu","-50"
"236",NA,"Mar-21",12,"Tuvalu","-100"
"237",NA,"Apr-21",13,"Tuvalu","-100"
"238",NA,"May-21",14,"Tuvalu","-100"
"239",NA,"Jun-21",15,"Tuvalu","-100"
"240",NA,"Jul-21",16,"Tuvalu","-100"
"241",NA,"Apr-20",1,"United Kingdom","-98.952155"
"242",NA,"May-20",2,"United Kingdom","-98.91261368"
"243",NA,"Jun-20",3,"United Kingdom","-98.41834717"
"244",NA,"Jul-20",4,"United Kingdom","-98.71490708"
"245",NA,"Aug-20",5,"United Kingdom","-98.73467774"
"246",NA,"Sep-20",6,"United Kingdom","-98.31949387"
"247",NA,"Oct-20",7,"United Kingdom","-97.7066034"
"248",NA,"Nov-20",8,"United Kingdom","-97.46935548"
"249",NA,"Dec-20",9,"United Kingdom","-97.74614472"
"250",NA,"Jan-21",10,"United Kingdom","-97.84499802"
"251",NA,"Feb-21",11,"United Kingdom","-98.10201661"
"252",NA,"Mar-21",12,"United Kingdom","-97.94385132"
"253",NA,"Apr-21",13,"United Kingdom","-97.62752076"
"254",NA,"May-21",14,"United Kingdom","-95.13641756"
"255",NA,"Jun-21",15,"United Kingdom","-95.59114274"
"256",NA,"Jul-21",16,"United Kingdom","-96.5599051"
